x,y,2018,2006,2011
90,86,38,36,43
90,87,621,356,382
91,88,481,455,485
91,89,139,45,48
91,110,2265,1878,2072
91,112,16,14,16
91,113,64,42,49
91,114,74,37,47
91,115,494,400,470
91,116,197,183,194
91,90,521,512,559
91,117,41,24,24
91,118,212,187,192
91,91,237,204,226
91,119,72,214,214
91,92,121,73,85
91,93,472,406,450
91,94,1409,1165,1317
91,96,373,262,342
91,97,997,790,915
91,10,638,669,660
91,98,2348,1420,1655
91,99,3289,3059,3182
91,11,274,276,281
91,12,264,133,301
91,13,69,37,61
91,14,135,128,127
91,15,107,113,116
91,16,74,78,81
91,18,1134,1212,1208
91,19,363,343,352
91,0,450,467,465
91,121,551,482,514
91,1,235,236,241
91,122,3402,3353,3445
91,2,104,111,110
91,123,36,15,23
91,124,25,25,24
91,3,587,622,621
91,125,299,299,309
91,4,259,240,249
91,5,79,76,65
91,126,10,10,13
91,127,12,17,16
91,6,4,6,6
91,7,292,286,302
91,8,4243,4274,4363
91,9,2495,2629,2583
91,20,14,15,15
91,21,222,214,211
91,22,343,389,376
91,23,37,41,38
91,24,29,33,37
91,25,113,115,126
91,26,116,120,126
91,27,422,363,370
91,28,28,32,31
91,29,328,312,322
91,30,15,24,17
91,31,40,46,45
91,32,136,149,152
91,33,292,204,219
