x,y,val
15,39,103
21,178,28
24,19,181
9,118,38
20,20,140
31,86,5
7,137,100
32,48,85
15,140,68
31,15,134
25,136,84
19,146,103
15,191,10
2,116,585
35,103,85
28,142,140
41,114,47
7,204,40
5,116,81
23,101,17
13,137,117
16,118,45
19,179,7
17,114,53
32,0,30
37,6,691
13,139,96
21,36,972
14,194,6
19,53,312
50,131,248
20,189,12
10,136,15
21,154,14
29,88,40
18,126,96
44,141,12
1,86,497
11,122,104
25,111,111
32,53,4
20,62,64
41,57,3
7,180,6
46,126,28
0,170,182
3,227,39
41,124,109
26,7,368
7,111,110
9,162,35
22,111,525
6,172,24
12,105,63
8,198,13
34,126,30
3,36,336
27,46,304
9,103,34
3,115,33
9,89,284
8,202,27
13,186,8
33,32,226
48,16,81
33,57,3
8,88,122
36,113,83
5,100,48
37,97,108
18,207,19
0,118,223
14,48,19
11,207,77
39,108,205
16,188,9
14,210,4
37,21,78
28,23,852
27,0,30
26,172,26
28,174,2
15,11,407
22,154,6
28,131,90
3,158,20
14,15,51
2,96,3
6,108,10
28,47,37
17,49,66
31,43,167
24,185,15
37,24,199
24,2,164
38,130,17
28,99,128
15,146,98
22,141,42
34,31,116
8,156,74
15,172,6
11,147,96
22,37,216
4,129,66
16,124,9426
32,98,58
11,181,3
43,129,61
7,113,24
29,17,53
37,105,15
5,40,423
1,218,1
29,93,12
32,99,525
