x,y,Population
4685,1570,18
4690,1570,31
4695,1570,3
4700,1570,9
4705,1570,60
4710,1570,9808
4715,1570,673
4720,1570,142
4725,1570,730
4730,1570,607
4735,1570,64
4740,1570,7
4745,1570,3109
4750,1570,140
4755,1570,1409
4760,1570,1566
4765,1570,17
4770,1570,35
4775,1570,7719
4780,1570,22896
4785,1570,8084
4790,1570,75289
4795,1570,18513
5440,1570,4
5445,1570,9
5480,1570,0
5485,1570,192
5490,1570,419
5495,1570,0
5865,1570,0
5870,1570,358
5875,1570,7
2910,1575,0
4640,1575,0
4645,1575,1
4650,1575,159
4655,1575,22925
4660,1575,52
4665,1575,11
4670,1575,9
4675,1575,1
4680,1575,10
4685,1575,28
4690,1575,915
4695,1575,3779
4700,1575,2
4705,1575,0
4710,1575,16726
4715,1575,674
4720,1575,213
4725,1575,280
4730,1575,3
4735,1575,49
4740,1575,3032
4745,1575,6125
4750,1575,200
4755,1575,1485
4760,1575,1863
4765,1575,55
4770,1575,5017
4775,1575,178
4780,1575,1178
4785,1575,2916
4790,1575,3577
4795,1575,578
5430,1575,0
5435,1575,26
5440,1575,118
5445,1575,28
5480,1575,0
5485,1575,44
5490,1575,0
5785,1575,0
5790,1575,0
5805,1575,0
5810,1575,0
5870,1575,0
5875,1575,0
2905,1580,0
2910,1580,13502
2915,1580,0
2920,1580,0
2925,1580,0
4630,1580,0
4635,1580,0
4640,1580,7527
4645,1580,1055
4650,1580,36
4655,1580,953
4660,1580,1246
4665,1580,1
4670,1580,4525
4675,1580,76
4680,1580,9
4685,1580,20
4690,1580,20
4695,1580,11
4700,1580,4
4705,1580,0
4710,1580,0
4715,1580,0
4720,1580,6890
4725,1580,17362
4730,1580,1044
4735,1580,12125
4740,1580,64
4745,1580,160
4750,1580,11
4755,1580,19
4760,1580,2120
4765,1580,37
4770,1580,3797
4775,1580,4943
4780,1580,7580
4785,1580,3743
4790,1580,0
5425,1580,0
5430,1580,189
5435,1580,385
5440,1580,141
5445,1580,0
5480,1580,0
5485,1580,0
5495,1580,0
5500,1580,0
5805,1580,0
5810,1580,0
5870,1580,0
5875,1580,270
5880,1580,0
2895,1585,0
2900,1585,0
2905,1585,373
2910,1585,30
2915,1585,268
2920,1585,755
2925,1585,13492
2930,1585,0
2935,1585,0
4620,1585,0
4625,1585,656
4630,1585,6612
4635,1585,21219
4640,1585,27178
4645,1585,15824
4650,1585,26
4655,1585,4616
4660,1585,3387
4665,1585,8
4670,1585,6604
4675,1585,11360
4680,1585,46
4685,1585,11786
4690,1585,109
4695,1585,60
4700,1585,1
4705,1585,0
4710,1585,3
4715,1585,2011
4720,1585,11365
4725,1585,1219
4730,1585,83
4735,1585,1398
4740,1585,2462
4745,1585,36
4750,1585,120
4755,1585,12781
4760,1585,5
4765,1585,0
4770,1585,21
4775,1585,31
4780,1585,126
4785,1585,12449
4790,1585,84
5425,1585,0
5430,1585,18
5435,1585,286
5440,1585,255
5445,1585,0
5480,1585,60
5485,1585,111
5490,1585,0
5495,1585,17
5500,1585,58
5505,1585,0
5510,1585,0
5810,1585,0
5835,1585,0
5840,1585,0
5870,1585,0
5875,1585,235
5880,1585,0
2890,1590,0
2895,1590,128
2900,1590,166
2905,1590,0
2910,1590,338
2915,1590,0
2920,1590,580
2925,1590,95183
2930,1590,0
2935,1590,43427
2940,1590,0
4610,1590,0
4615,1590,13
4620,1590,98
4625,1590,4521
4630,1590,273
4635,1590,1501
4640,1590,11266
4645,1590,19171
4650,1590,82
4655,1590,3035
4660,1590,5361
4665,1590,1192
4670,1590,16
4675,1590,7210
4680,1590,51
4685,1590,0
4690,1590,7
4695,1590,12180
4700,1590,9
4705,1590,2
4710,1590,2940
4715,1590,3220
4720,1590,64
4725,1590,0
4730,1590,2
4735,1590,206
4740,1590,970
4745,1590,7796
4750,1590,16937
4755,1590,274
4760,1590,139
4765,1590,38000
4770,1590,164
4775,1590,3859
4780,1590,2607
4785,1590,19582
4790,1590,185
5375,1590,0
5385,1590,0
5390,1590,0
5425,1590,0
5430,1590,142
5435,1590,157
5440,1590,189
5445,1590,0
5480,1590,0
5485,1590,1085
5490,1590,1889
5495,1590,2044
5500,1590,353
5505,1590,0
5810,1590,0
5835,1590,0
5840,1590,0
5870,1590,0
5875,1590,6
5880,1590,0
6380,1590,0
6385,1590,0
6390,1590,0
6410,1590,0
6415,1590,0
6420,1590,0
2890,1595,261
2895,1595,237
2900,1595,77
2905,1595,1309
2910,1595,16
2915,1595,0
2920,1595,5496
2925,1595,23270
2930,1595,7115
2935,1595,26450
2940,1595,0
4605,1595,0
4610,1595,39
4615,1595,1460
4620,1595,1083
4625,1595,1
4630,1595,75
4635,1595,12073
4640,1595,6748
4645,1595,506
4650,1595,4618
4655,1595,126
4660,1595,19866
4665,1595,8271
4670,1595,4344
4675,1595,5
4680,1595,26
4685,1595,0
4690,1595,82
4695,1595,12309
4700,1595,4
4705,1595,397
4710,1595,2490
4715,1595,3453
4720,1595,0
4725,1595,0
4730,1595,25
4735,1595,13
4740,1595,15783
4745,1595,761
4750,1595,153
4755,1595,149
4760,1595,120
4765,1595,1235
4770,1595,4
4775,1595,769
4780,1595,191
4785,1595,138
5365,1595,0
5370,1595,0
5375,1595,0
5380,1595,0
5385,1595,0
5390,1595,0
5425,1595,0
5430,1595,536
5435,1595,34
5440,1595,530
5445,1595,0
5475,1595,0
5480,1595,17
5485,1595,639
5490,1595,1279
5495,1595,360
5500,1595,43
5685,1595,0
5690,1595,0
5800,1595,0
5805,1595,0
5840,1595,0
5870,1595,0
5875,1595,0
5880,1595,0
6360,1595,101
6365,1595,180
6370,1595,372
6375,1595,1350
6380,1595,162
6385,1595,166
6390,1595,1565
6395,1595,0
6400,1595,0
6405,1595,0
6410,1595,13
6415,1595,845
6420,1595,9
6425,1595,0
2885,1600,0
2890,1600,599
2895,1600,490
2900,1600,457
2905,1600,0
2910,1600,0
2915,1600,0
2920,1600,0
2925,1600,0
2930,1600,10666
2935,1600,4002
2940,1600,72
2945,1600,0
3225,1600,0
3230,1600,0
3235,1600,0
4600,1600,0
4605,1600,438
4610,1600,506
4615,1600,7
4620,1600,3942
4625,1600,0
4630,1600,64
4635,1600,4501
4640,1600,2391
4645,1600,913
4650,1600,9442
4655,1600,1
4660,1600,28
4665,1600,174
4670,1600,2
4675,1600,159
4680,1600,76
4685,1600,4387
4690,1600,2812
4695,1600,1783
4700,1600,30
4705,1600,1030
4710,1600,17589
4715,1600,3430
4720,1600,0
4725,1600,0
4730,1600,13
4735,1600,9418
4740,1600,1043
4745,1600,26
4750,1600,45
4755,1600,116
4760,1600,125
4765,1600,115
4770,1600,1279
4775,1600,27
5365,1600,0
5370,1600,2
5375,1600,0
5380,1600,0
5385,1600,570
5390,1600,16
5425,1600,0
5430,1600,1089
5435,1600,178
5440,1600,370
5445,1600,79
5465,1600,0
5470,1600,0
5475,1600,33
5480,1600,719
5485,1600,212
5490,1600,30
