x,y,0_15,0_5,100_,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,m,pop
100,50,0,0,0,3,3,3,3,9,0,0,3,0,6,3,3,3,6,0,0,0,0,26,28,54
100,51,13,6,0,12,18,11,14,15,14,12,20,30,9,18,9,9,12,6,6,3,0,115,121,236
100,52,3,3,0,3,3,10,3,3,3,6,7,4,3,4,0,3,3,3,3,0,0,36,31,67
100,53,0,0,0,3,0,0,0,0,0,3,0,0,3,0,3,4,0,3,0,0,0,8,13,21
100,54,0,3,0,0,0,0,3,3,0,0,0,3,3,3,3,0,3,3,0,0,3,15,14,29
100,55,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,8
100,56,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,3,6
101,3,0,0,0,0,3,0,0,0,0,6,6,3,0,0,0,0,3,0,0,0,0,6,10,16
101,4,3,6,0,9,3,9,3,0,6,3,8,9,0,3,6,0,0,6,0,0,0,17,29,46
101,8,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,6,7,13
101,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,6
101,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3
101,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
101,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,6,13
101,35,0,3,0,0,0,3,0,3,0,3,0,3,0,0,0,3,6,0,0,0,0,7,8,15
101,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,9
101,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,6,9
101,48,3,9,0,0,0,6,3,3,0,3,6,6,0,0,3,0,8,3,0,0,0,30,26,56
101,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
101,50,4,0,0,3,0,0,3,3,0,6,9,6,3,6,3,6,3,0,0,3,0,24,34,58
101,51,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,6
102,0,0,0,0,8,3,3,3,3,3,3,0,6,0,0,3,9,0,3,3,0,0,20,31,51
102,2,0,0,0,3,0,0,3,0,0,6,3,0,0,3,0,0,0,0,0,0,0,11,7,18
102,3,12,8,0,3,10,14,9,3,5,11,10,9,12,11,11,16,13,15,0,3,0,79,103,182
102,6,3,3,0,3,3,3,0,3,0,0,7,12,0,10,9,3,0,6,0,0,0,30,34,64
