X_MIN000;Y_MIN000;TOT_P
3322000;3304000;2
3322000;3305000;33
3322000;3307000;422
3322000;3308000;210
3322000;3313000;23
3322000;3314000;32
3322000;3315000;38
3322000;3317000;26
3322000;3318000;18
3322000;3319000;271
3322000;3320000;751
3322000;3321000;92
3322000;3323000;56
3323000;3281000;179
3323000;3282000;18
3323000;3284000;13
3323000;3285000;15
3323000;3286000;13
3323000;3290000;14
3323000;3292000;10
3323000;3294000;31
3323000;3295000;14
3323000;3296000;123
3323000;3297000;5
3323000;3298000;19
3323000;3299000;14
3323000;3300000;6
3323000;3301000;9
3323000;3302000;4
3323000;3305000;40
3323000;3306000;48
3323000;3307000;6
3323000;3308000;3
3323000;3309000;45
3323000;3310000;179
3323000;3311000;116
3323000;3312000;30
3323000;3313000;15
3323000;3315000;34
3323000;3316000;188
3323000;3318000;43
3323000;3319000;698
3323000;3320000;550
3323000;3322000;11
3323000;3323000;4
3323000;3324000;63
3324000;3281000;172
3324000;3282000;2
3324000;3283000;14
3324000;3285000;12
3324000;3287000;8
3324000;3290000;66
3324000;3293000;10
3324000;3294000;22
3324000;3295000;36
3324000;3296000;26
3324000;3297000;6
3324000;3298000;6
3324000;3300000;4
3324000;3301000;22
3324000;3304000;40
3324000;3305000;270
3324000;3307000;15
3324000;3311000;7
3324000;3312000;53
3324000;3313000;7
3324000;3314000;54
3324000;3316000;393
3324000;3319000;44
3324000;3320000;2284
3324000;3321000;363
3324000;3322000;15
3324000;3323000;88
3324000;3324000;27
3325000;3281000;69
3325000;3282000;191
3325000;3283000;7
3325000;3284000;28
3325000;3285000;9
3325000;3286000;18
3325000;3292000;10
3325000;3295000;15
3325000;3296000;12
3325000;3297000;11
3325000;3298000;76
3325000;3300000;16
3325000;3302000;30
3325000;3304000;62
3325000;3305000;49
3325000;3310000;7
3325000;3311000;47
3325000;3312000;149
3325000;3314000;18
3325000;3315000;97
3325000;3316000;472
3325000;3317000;19
3325000;3318000;55
3325000;3319000;91
3325000;3320000;47
3325000;3321000;84
3325000;3323000;99
3326000;3282000;24
3326000;3283000;5
3326000;3284000;19
3326000;3286000;29
3326000;3287000;156
3326000;3288000;40
3326000;3290000;15
3326000;3291000;19
3326000;3292000;151
3326000;3293000;27
3326000;3294000;16
3326000;3295000;20
3326000;3296000;5
3326000;3298000;2
3326000;3299000;44
3326000;3300000;73
3326000;3301000;14
3326000;3302000;2
3326000;3304000;33
3326000;3305000;28
3326000;3306000;198
3326000;3307000;18
3326000;3309000;55
3326000;3312000;56
3326000;3313000;5
3326000;3314000;9
3326000;3315000;45
3326000;3316000;19
3326000;3317000;238
3326000;3318000;111
3326000;3319000;47
3326000;3320000;21
3326000;3321000;82
3326000;3322000;19
3326000;3324000;33
3326000;3325000;9
3327000;3282000;32
3327000;3286000;26
3327000;3287000;16
3327000;3288000;25
3327000;3289000;344
3327000;3290000;66
3327000;3291000;19
3327000;3295000;14
3327000;3298000;11
3327000;3299000;10
3327000;3300000;7
3327000;3301000;24
3327000;3302000;19
3327000;3306000;20
3327000;3307000;3
3327000;3308000;9
3327000;3309000;14
3327000;3311000;11
3327000;3312000;113
3327000;3313000;10
3327000;3315000;53
3327000;3316000;14
3327000;3317000;389
3327000;3319000;34
3327000;3320000;18
3327000;3321000;430
3327000;3322000;23
3327000;3323000;20
3327000;3324000;19
3328000;3280000;12
3328000;3281000;17
3328000;3282000;92
3328000;3283000;16
3328000;3284000;16
3328000;3285000;17
3328000;3287000;38
3328000;3288000;538
3328000;3289000;303
3328000;3290000;55
3328000;3293000;20
3328000;3294000;27
3328000;3296000;51
3328000;3298000;31
3328000;3299000;31
3328000;3303000;39
3328000;3304000;21
3328000;3305000;30
3328000;3307000;40
3328000;3308000;9
3328000;3309000;56
3328000;3311000;17
3328000;3312000;12
3328000;3313000;13
3328000;3314000;7
3328000;3315000;3
3328000;3316000;46
3328000;3317000;5
3328000;3318000;30
3328000;3319000;1
3328000;3320000;7
3328000;3321000;46
3328000;3322000;4
3328000;3323000;36
3328000;3324000;8
3329000;3282000;327
3329000;3283000;15
3329000;3284000;34
3329000;3285000;53
3329000;3286000;15
3329000;3288000;37
3329000;3289000;870
3329000;3290000;229
3329000;3291000;7
3329000;3292000;29
3329000;3293000;3
3329000;3294000;22
3329000;3296000;25
3329000;3297000;1
3329000;3298000;8
3329000;3299000;12
3329000;3300000;15
3329000;3303000;6
3329000;3304000;6
3329000;3305000;13
3329000;3306000;11
3329000;3308000;5
3329000;3309000;7
3329000;3310000;3
3329000;3312000;27
3329000;3313000;163
3329000;3314000;19
3329000;3316000;36
3329000;3317000;25
3329000;3318000;17
3329000;3320000;2
3329000;3321000;93
3329000;3323000;66
3330000;3282000;150
3330000;3283000;440
3330000;3284000;32
3330000;3285000;5
