IDENTIFIER,TOTAL,WOMEN,MEN,TOTAL_0_14,WOMEN_0_14,MEN_0_14,TOTAL_15_64,WOMEN_15_64,MEN_15_64_,TOTAL_65p,WOMEN_65p,MEN_65p,INACTIVE_POPULATION,LABOUR_FORCE,BASIC_EDUCATION_OR_LESS,UPPER_SECONDARY_EDUCATION,TERTIARY_EDUCATION
1kmN2210E4984,593,303,290,101,45,56,406,212,194,86,46,40,222,267,133,287,69
1kmN2210E4985,1996,1030,966,367,178,189,1478,759,719,151,93,58,602,1024,313,1014,300
1kmN2210E4986,5551,2857,2694,899,443,456,4146,2129,2017,506,285,221,1840,2812,824,2821,1007
1kmN2210E4987,420,210,210,64,30,34,298,148,150,58,32,26,164,192,65,217,74
1kmN2210E4988,295,143,152,58,25,33,213,103,110,24,15,9,92,145,43,143,51
1kmN2211E4884,20,10,10,D,D,D,16,8,8,0,0,0,D,13,D,12,D
1kmN2211E4940,60,31,29,D,D,D,33,14,19,23,16,7,34,22,31,21,D
1kmN2211E4941,17,10,7,D,D,D,9,D,D,6,D,D,D,D,D,D,D
1kmN2211E4949,5,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,D
1kmN2211E4977,7,D,D,0,0,0,7,D,D,0,0,0,D,D,D,D,0
1kmN2211E4978,114,63,51,22,12,10,76,42,34,16,9,7,44,48,23,48,21
1kmN2211E4979,159,80,79,28,9,19,112,59,53,19,12,7,59,72,29,79,23
1kmN2211E4980,282,148,134,45,21,24,179,89,90,58,38,20,127,109,38,141,57
1kmN2211E4981,77,40,37,8,D,D,56,29,27,13,D,D,37,32,14,41,14
1kmN2212E4938,21,10,11,D,D,D,15,7,8,D,D,D,D,13,D,D,D
1kmN2212E4939,138,70,68,13,6,7,79,36,43,46,28,18,82,43,62,58,D
1kmN2212E4940,34,16,18,D,D,D,14,6,8,16,8,8,23,D,18,D,D
1kmN2212E4943,86,43,43,15,D,D,55,25,30,16,7,9,34,37,19,41,11
1kmN2212E4944,13,6,7,0,0,0,6,D,D,7,D,D,D,D,D,D,D
1kmN2212E4947,44,25,19,0,0,0,14,8,6,30,17,13,37,D,26,15,D
1kmN2212E4948,36,17,19,5,D,D,23,13,10,8,D,D,21,D,D,19,D
1kmN2212E4949,24,10,14,D,D,D,18,9,9,5,D,D,17,D,D,12,D
1kmN2212E4950,D,D,D,0,0,0,D,D,D,0,0,0,D,D,0,D,0
1kmN2212E4967,6,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,0
1kmN2212E4968,27,12,15,6,D,D,11,D,D,10,D,D,17,D,D,D,D
1kmN2212E4969,146,66,80,18,9,9,97,43,54,31,14,17,78,50,44,58,26
1kmN2212E4970,16,10,6,D,D,D,13,8,5,0,0,0,D,D,D,D,D
1kmN2212E4975,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,0,0
1kmN2212E4977,281,136,145,51,22,29,186,84,102,44,30,14,113,117,48,147,35
1kmN2212E4978,155,84,71,21,12,9,111,61,50,23,11,12,61,73,27,78,29
1kmN2212E4980,401,215,186,69,38,31,262,140,122,70,37,33,155,177,70,168,94
1kmN2212E4981,12,D,D,0,0,0,11,D,D,D,D,D,D,D,D,D,D
1kmN2213E4932,35,19,16,8,D,D,19,9,10,8,D,D,18,D,12,12,D
1kmN2213E4933,D,D,D,0,0,0,D,D,D,D,D,D,D,0,0,D,0
1kmN2213E4943,32,15,17,D,D,D,23,9,14,8,D,D,11,20,D,19,D
1kmN2213E4965,139,69,70,19,6,13,92,44,48,28,19,9,73,47,39,62,18
1kmN2213E4966,26,14,12,D,D,D,14,8,6,8,D,D,20,D,D,11,D
1kmN2213E4967,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,0,0
1kmN2213E4968,8,D,D,0,0,0,7,D,D,D,D,D,D,D,D,D,D
1kmN2213E4969,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,0,0
1kmN2213E4974,70,36,34,13,6,7,49,24,25,8,D,D,21,36,13,37,D
1kmN2213E4975,149,80,69,22,11,11,106,53,53,21,16,5,68,59,29,80,18
1kmN2213E4982,165,85,80,29,16,13,109,52,57,27,17,10,68,68,47,82,D
1kmN2213E4983,27,14,13,5,D,D,17,7,10,5,D,D,12,D,D,13,D
1kmN2214E4924,5,D,D,D,D,D,D,D,D,0,0,0,0,D,0,0,D
1kmN2214E4925,32,16,16,8,D,D,20,9,11,D,D,D,12,12,D,12,D
1kmN2214E4934,39,21,18,D,D,D,24,13,11,13,7,6,26,11,18,14,D
1kmN2214E4964,6,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,D
1kmN2214E4965,40,19,21,5,D,D,20,10,10,15,7,8,26,D,14,12,D
1kmN2214E4973,79,39,40,9,D,D,56,25,31,14,8,6,31,39,12,41,17
1kmN2214E4976,17,8,9,D,D,D,8,D,D,6,D,D,D,D,D,D,D
1kmN2214E4977,41,21,20,5,D,D,30,14,16,6,D,D,16,20,D,24,D
1kmN2214E4978,30,13,17,D,D,D,23,10,13,D,D,D,13,13,12,13,D
1kmN2214E4979,39,18,21,6,D,D,26,10,16,7,D,D,17,16,19,D,D
1kmN2214E4982,109,51,58,14,5,9,78,35,43,17,11,6,41,54,35,51,D
1kmN2215E4923,D,D,D,0,0,0,D,D,D,D,D,D,D,0,D,D,0
1kmN2215E4924,111,60,51,9,D,D,68,37,31,34,20,14,57,45,33,56,13
1kmN2215E4932,28,12,16,D,D,D,17,7,10,7,D,D,15,D,D,12,D
1kmN2215E4973,17,6,11,D,D,D,13,D,D,D,D,D,D,D,D,D,D
1kmN2215E4976,23,16,7,D,D,D,14,D,D,8,D,D,12,D,11,D,D
1kmN2215E4977,66,30,36,8,D,D,47,19,28,11,D,D,29,29,25,28,D
1kmN2215E4978,53,24,29,10,D,D,33,16,17,10,5,5,24,19,16,26,D
1kmN2216E4922,52,28,24,7,D,D,39,19,20,6,D,D,19,26,D,32,D
1kmN2216E4925,107,52,55,12,D,D,72,36,36,23,12,11,54,41,29,56,D
1kmN2216E4927,6,D,D,0,0,0,5,D,D,D,D,D,D,D,D,D,0
1kmN2216E4967,6,D,D,0,0,0,5,D,D,D,D,D,D,D,0,D,D
1kmN2216E4968,14,7,7,0,0,0,9,D,D,5,D,D,D,D,D,D,D
1kmN2216E4969,D,D,D,0,0,0,D,D,D,0,0,0,D,D,D,D,0
1kmN2216E4971,36,18,18,5,D,D,18,8,10,13,7,6,21,D,15,16,0
1kmN2216E4972,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,0,0
1kmN2216E4975,90,39,51,13,D,D,52,20,32,25,15,10,39,38,40,34,D
1kmN2217E4967,9,D,D,0,0,0,D,D,D,6,D,D,D,D,D,D,D
1kmN2217E4968,24,15,9,5,D,D,9,D,D,10,D,D,11,D,11,D,D
1kmN2217E4969,D,D,D,0,0,0,0,0,0,D,D,D,D,0,D,0,0
1kmN2217E4970,21,14,7,5,D,D,9,D,D,7,D,D,D,D,D,D,0
1kmN2217E4973,60,29,31,D,D,D,43,20,23,13,6,7,31,25,22,24,D
1kmN2218E4968,25,15,10,D,D,D,13,6,7,11,D,D,17,D,12,12,0
1kmN2218E4969,10,D,D,0,0,0,5,D,D,5,D,D,D,D,D,D,0
1kmN2218E4970,21,12,9,D,D,D,12,6,6,8,D,D,D,D,D,D,D
1kmN2218E4971,14,5,9,D,D,D,6,D,D,7,D,D,D,D,D,D,D
1kmN2218E4972,14,6,8,D,D,D,11,D,D,D,D,D,D,D,D,D,0
1kmN2219E4966,30,14,16,D,D,D,24,11,13,D,D,D,14,14,D,19,D
1kmN2219E4967,31,16,15,D,D,D,19,11,8,9,D,D,17,11,D,14,D
1kmN2219E4968,8,D,D,0,0,0,7,D,D,D,D,D,D,D,D,D,0
1kmN2219E4969,52,28,24,11,6,5,24,13,11,17,9,8,24,17,15,22,D
1kmN2219E4970,D,D,D,0,0,0,0,0,0,D,D,D,D,0,0,D,0
1kmN2220E4964,57,28,29,11,D,D,33,15,18,13,6,7,26,20,15,23,D
1kmN2220E4965,23,11,12,D,D,D,13,6,7,6,D,D,D,D,D,11,D
1kmN2220E4966,222,126,96,28,20,8,132,74,58,62,32,30,112,82,49,105,40
1kmN2220E4967,237,120,117,32,16,16,153,75,78,52,29,23,108,97,47,121,37
1kmN2221E4952,D,D,D,0,0,0,D,D,D,0,0,0,D,D,D,0,0
1kmN2221E4955,7,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
1kmN2221E4961,10,5,5,D,D,D,7,D,D,D,D,D,D,D,D,D,D
1kmN2221E4963,14,6,8,D,D,D,9,D,D,D,D,D,D,D,D,D,D
1kmN2221E4964,133,65,68,24,10,14,77,41,36,32,14,18,55,54,34,62,13
1kmN2221E4966,5,D,D,0,0,0,D,D,D,D,D,D,D,D,D,D,D
1kmN2222E4949,11,D,D,0,0,0,8,D,D,D,D,D,D,D,D,D,D
