x,y,resolution,ms_pop
3819000,3127000,1000,188
3819000,3128000,1000,22
3819000,3129000,1000,16
3819000,3130000,1000,9
3819000,3131000,1000,30
3819000,3132000,1000,14
3819000,3133000,1000,10
3819000,3134000,1000,36
3819000,3135000,1000,9
3819000,3136000,1000,5
3819000,3137000,1000,119
3819000,3138000,1000,28
3819000,3139000,1000,14
3819000,3140000,1000,9
3819000,3141000,1000,10
3819000,3142000,1000,12
3819000,3143000,1000,1089
3819000,3144000,1000,2868
3820000,3088000,1000,29
3820000,3089000,1000,269
3820000,3090000,1000,88
3820000,3091000,1000,67
3820000,3092000,1000,15
3820000,3094000,1000,31
3820000,3095000,1000,11
3820000,3096000,1000,657
3820000,3097000,1000,393
3820000,3098000,1000,105
3820000,3099000,1000,702
3820000,3100000,1000,13
3820000,3101000,1000,112
3820000,3102000,1000,188
3820000,3103000,1000,27
3820000,3104000,1000,617
3820000,3108000,1000,101
3820000,3109000,1000,41
3820000,3110000,1000,18
3820000,3111000,1000,134
3820000,3112000,1000,62
3820000,3113000,1000,22
3820000,3114000,1000,255
3820000,3115000,1000,160
3820000,3116000,1000,28
3820000,3117000,1000,169
3820000,3118000,1000,227
3820000,3119000,1000,21
3820000,3120000,1000,16
3820000,3122000,1000,42
3820000,3123000,1000,25
3820000,3125000,1000,32
3820000,3126000,1000,592
3820000,3127000,1000,347
3820000,3128000,1000,7
3820000,3129000,1000,22
3820000,3130000,1000,9
3820000,3132000,1000,39
3820000,3134000,1000,11
3820000,3135000,1000,137
3820000,3136000,1000,29
3820000,3137000,1000,14
3820000,3139000,1000,24
3820000,3140000,1000,10
3820000,3141000,1000,121
3820000,3142000,1000,66
3821000,3090000,1000,134
3821000,3091000,1000,93
3821000,3092000,1000,194
3821000,3093000,1000,150
3821000,3094000,1000,69
3821000,3095000,1000,25
3821000,3096000,1000,159
3821000,3097000,1000,94
3821000,3098000,1000,14
3821000,3099000,1000,31
3821000,3100000,1000,36
3821000,3101000,1000,28
3821000,3102000,1000,6
3821000,3103000,1000,11
3821000,3104000,1000,34
3821000,3105000,1000,453
3821000,3108000,1000,182
3821000,3109000,1000,6
3821000,3110000,1000,31
3821000,3111000,1000,132
3821000,3112000,1000,54
3821000,3113000,1000,29
3821000,3114000,1000,40
3821000,3115000,1000,28
3821000,3116000,1000,21
3821000,3117000,1000,40
3821000,3118000,1000,51
3821000,3119000,1000,51
3821000,3120000,1000,31
3821000,3121000,1000,80
3821000,3124000,1000,98
3821000,3127000,1000,1014
3821000,3128000,1000,22
3821000,3129000,1000,4
3821000,3130000,1000,11
3821000,3131000,1000,30
3821000,3132000,1000,14
3821000,3133000,1000,6
3821000,3135000,1000,7
3821000,3136000,1000,27
3821000,3137000,1000,8
3821000,3138000,1000,11
3821000,3139000,1000,29
3821000,3141000,1000,17
3821000,3142000,1000,6
3821000,3143000,1000,117
3821000,3144000,1000,24
3821000,3145000,1000,19
3822000,3091000,1000,107
3822000,3092000,1000,27
3822000,3093000,1000,100
3822000,3094000,1000,24
3822000,3095000,1000,12
3822000,3096000,1000,27
3822000,3097000,1000,31
3822000,3098000,1000,35
3822000,3099000,1000,28
3822000,3100000,1000,16
3822000,3101000,1000,30
3822000,3102000,1000,9
3822000,3103000,1000,22
3822000,3104000,1000,60
3822000,3105000,1000,106
3822000,3106000,1000,1772
3822000,3108000,1000,184
3822000,3109000,1000,20
3822000,3110000,1000,39
3822000,3111000,1000,14
3822000,3112000,1000,152
3822000,3113000,1000,72
3822000,3114000,1000,43
3822000,3115000,1000,31
3822000,3116000,1000,13
3822000,3117000,1000,89
3822000,3118000,1000,30
3822000,3119000,1000,53
3822000,3120000,1000,33
3822000,3121000,1000,38
3822000,3122000,1000,51
3822000,3123000,1000,34
3822000,3124000,1000,36
3822000,3125000,1000,59
3822000,3127000,1000,463
3822000,3128000,1000,6
3822000,3129000,1000,638
3822000,3130000,1000,103
3822000,3131000,1000,271
3822000,3132000,1000,136
3822000,3134000,1000,9
3822000,3135000,1000,10
3822000,3136000,1000,13
3822000,3137000,1000,7
3822000,3138000,1000,14
3822000,3139000,1000,10
3822000,3140000,1000,8
3822000,3141000,1000,24
3822000,3142000,1000,26
3822000,3143000,1000,11
3822000,3144000,1000,27
3822000,3145000,1000,119
3822000,3146000,1000,256
3823000,3092000,1000,76
3823000,3094000,1000,526
3823000,3095000,1000,281
3823000,3096000,1000,34
3823000,3097000,1000,63
3823000,3098000,1000,9
3823000,3099000,1000,81
3823000,3100000,1000,30
3823000,3101000,1000,146
3823000,3102000,1000,71
3823000,3103000,1000,300
3823000,3105000,1000,259
3823000,3106000,1000,50
3823000,3107000,1000,78
3823000,3108000,1000,297
3823000,3109000,1000,82
3823000,3110000,1000,22
3823000,3111000,1000,24
3823000,3112000,1000,317
3823000,3114000,1000,21
3823000,3116000,1000,64
3823000,3118000,1000,118
3823000,3119000,1000,514
3823000,3120000,1000,70
3823000,3121000,1000,35
3823000,3122000,1000,488
3823000,3123000,1000,89
3823000,3124000,1000,48
3823000,3125000,1000,132
3823000,3126000,1000,260
3823000,3130000,1000,19
3823000,3131000,1000,248
3823000,3133000,1000,78
3823000,3134000,1000,360
3823000,3135000,1000,4
3823000,3136000,1000,61
3823000,3137000,1000,173
3823000,3138000,1000,11
3823000,3139000,1000,4
3823000,3140000,1000,12
3823000,3141000,1000,115
3823000,3143000,1000,93
3823000,3145000,1000,510
3823000,3146000,1000,1219
