x,y,0_15,0_5,100_,15_20,20_25,30_35,35_40,40_45,45_50,50_55,55_60,5_10,60_65,65_70,70_75,75_80,80_85,85_90,90_95,95_100,f,ld25_30,m,pop
5,65,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,3
5,66,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,3,3,9
5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3
5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
5,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,77,3,3,0,6,0,3,3,3,0,3,6,6,0,6,6,3,0,3,0,0,22,0,28,50
5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,6
5,85,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,4,4
5,86,4,4,0,8,0,0,3,8,8,0,6,12,7,9,5,6,0,0,0,0,43,3,42,85
5,87,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,9,3,3,12
5,89,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,6,12
5,90,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6
5,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
5,105,0,0,0,3,3,3,0,0,3,3,6,0,0,3,0,0,0,0,0,0,10,0,16,26
5,125,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,7
5,126,0,0,0,0,0,0,0,0,0,3,3,0,0,3,4,0,0,0,0,0,6,0,10,16
5,127,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,3,3
6,4,0,3,0,6,6,3,3,3,0,9,5,3,6,6,6,9,7,0,0,0,33,6,43,76
6,5,6,4,0,3,5,4,8,10,6,6,8,3,17,5,8,7,3,6,0,0,53,7,62,115
6,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
6,8,10,6,0,8,3,5,6,9,12,12,19,14,16,25,26,12,8,7,3,0,89,10,117,206
6,9,7,0,0,6,3,3,3,3,0,15,13,3,7,6,4,6,0,3,0,0,32,3,46,78
6,19,3,0,0,5,0,0,0,0,3,0,0,3,0,0,0,0,6,0,0,0,14,0,9,23
6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
6,21,0,0,0,0,3,3,0,3,3,3,0,3,3,0,3,0,0,0,0,0,11,3,10,21
6,23,6,0,0,3,6,0,0,0,9,9,4,3,8,3,4,3,3,0,0,0,31,3,26,57
6,24,0,0,0,0,0,0,3,0,0,3,0,0,0,3,6,0,0,0,0,0,10,0,12,22
6,28,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,10,0,10,20
6,43,0,3,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,6,0,7,13
6,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4
