lat,lng,continent
2.5566,98.3235,AS
23.53755,114.95402,AS
30.73674,107.20115,AS
35.55125,-80.40645,NA
27.79808,-82.79732,NA
43.16205,47.05585,EU
29.60487,111.87012,AS
47.23333,24.76667,EU
53.62754,-6.52674,EU
45.3554,-121.98064,NA
46.3043,-119.36141,NA
34.96545,135.70415,AS
-25.2,45.2,AF
41.53,20.42361,EU
23.43524,-99.75875,NA
-7.4272,112.7701,AS
7.21194,125.44222,AS
31.9471,119.98635,AS
51.19537,13.30917,EU
44.47169,24.65611,EU
46.93333,24.9,EU
50.99409,10.54469,EU
25.95735,115.41002,AS
44.55,25.58333,EU
48.94208,2.61463,EU
51.62174,24.92427,EU
30.89089,118.18307,AS
51.60639,-3.23028,EU
48.66863,38.75444,EU
25.61,118.17806,AS
45.19093,7.88981,EU
24.61956,118.42437,AS
29.03614,114.56362,AS
50.00786,17.6264,EU
-7.0186,108.004,AS
46.64303,23.84663,EU
37.68333,98.75,AS
38.95608,114.57336,AS
52.805,104.75083,EU
20.47556,-101.34944,NA
39.09556,-94.35523,NA
45.8867,11.36159,EU
46.55361,15.58361,EU
50.14734,14.10285,EU
49.21667,17.51667,EU
-7.1016,108.1629,AS
52.37853,-2.48196,EU
41.26861,20.59611,EU
40.5417,-4.84548,EU
47.36667,13.53333,EU
48.41667,15.73333,EU
41.30409,14.07937,EU
38.18928,-1.89183,EU
54.34835,89.28297,EU
46.71667,26.7,EU
14.52046,105.24478,AS
-8.5596,116.9463,AS
45.1904,7.97126,EU
48.64785,1.52933,EU
13.60169,26.68759,AF
33.46761,-87.03111,NA
19.56472,-99.84139,NA
35.23345,-82.73429,NA
41.05327,-8.64326,EU
29.08727,117.68937,AS
41.03702,14.33979,EU
41.32879,15.70994,EU
39.60661,-7.24402,EU
44.43001,7.74493,EU
51.29405,25.53436,EU
45.23969,4.67075,EU
45.857,13.21703,EU
40.87895,123.90382,AS
32.78333,130.36667,AS
25.21719,119.4784,AS
29.28339,108.089,AS
7.502,146.166,OC
35.05352,69.25654,AS
49.53556,6.14694,EU
46.55984,141.84358,EU
39.78809,-2.6968,EU
-7.0089,113.5144,AS
34.69926,-86.74833,NA
-8.749,122.3704,AS
38.95844,17.09242,EU
41.4901,-71.31283,NA
47.94395,16.26062,EU
34.18775,71.76274,AS
51.27056,-2.12444,EU
52.26065,9.04939,EU
39.8998,-79.69782,NA
45.08197,9.69717,EU
6.33031,-72.58505,SA
36.53167,2.99194,AF
35.6125,106.11667,AS
15.22628,44.48244,AS
47.18333,14.75,EU
29.68625,118.00952,AS
45.16667,23.93333,EU
45.46282,9.31263,EU
-7.03306,107.51833,AS
34.60593,-86.98334,NA
45.79817,109.31826,AS
49.42504,16.59119,EU
40.58293,17.47468,EU
31.16804,119.08984,AS
52.3,9.45,EU
33.63428,-85.18717,NA
17.12357,77.0824,AS
18.56583,-101.97611,NA
51.01459,3.63779,EU
16.77007,77.13755,AS
48.64947,2.96116,EU
28.76256,121.31758,AS
49.70038,2.78959,EU
56.39063,16.07274,EU
26.10035,-98.26307,NA
-7.3257,108.3534,AS
40.65594,-73.71763,NA
40.22896,-80.21645,NA
45.66667,28.06667,EU
39.23991,-120.05102,NA
29.50761,109.40266,AS
46.25573,13.17906,EU
38.27023,-4.32358,EU
50.68069,5.32785,EU
28.68304,78.78559,AS
20.79201,110.3611,AS
51.71278,-5.0341,EU
45.09678,8.73679,EU
45.1,26.56667,EU
27.83197,-81.5223,NA
40.79205,-74.00375,NA
28.12048,116.26273,AS
38.06667,15.98333,EU
47.12598,9.05428,EU
31.77082,118.86817,AS
41.95288,-70.81448,NA
53.39337,-3.01479,EU
48.36241,8.63309,EU
-34.68432,-55.702,SA
14.48646,121.22752,AS
47.05,15.21667,EU
46.9242,8.38785,EU
15.6633,120.5147,AS
39.24128,28.17842,EU
55.90204,-3.64398,EU
-11.89119,-75.38745,SA
35.05303,-120.59628,NA
13.30995,-14.21373,AF
34.50383,49.68437,AS
44.85451,0.40275,EU
41.91738,3.1631,EU
46.61667,21.78333,EU
50.81192,13.10197,EU
40.80754,-91.11292,NA
6.90231,5.93117,AF
-15.40669,28.28713,AF
40.69065,-76.26217,NA
37.02444,111.9125,AS
28.58899,116.40622,AS
41.47967,-5.60459,EU
40.58873,22.39976,EU
50.75601,-1.6658,EU
52.95868,9.07933,EU
-31.67379,115.70372,OC
41.03415,45.64516,AS
14.1951,43.31518,AS
51.54833,3.59444,EU
41.78611,20.90611,EU
