x,y,value
2824,4922,4892
2834,4922,287
2844,4922,132
2854,4922,113
3184,4922,1
3214,4922,4
4394,4922,1
4484,4922,96
4504,4922,50
4514,4922,552
4524,4922,110
4544,4922,254
4554,4922,1094
4564,4922,169
4574,4922,2
4674,4922,13
4774,4922,1863
4784,4922,12345
4794,4922,92
4804,4922,83
4814,4922,160
4824,4922,11
4834,4922,125
4844,4922,1
4854,4922,16
4864,4922,152
4874,4922,11
4884,4922,36
4894,4922,14
4904,4922,3
4914,4922,40
4924,4922,139
4934,4922,105
4944,4922,79
4954,4922,84
4964,4922,57
4974,4922,17
4984,4922,9
4994,4922,166
5004,4922,9
5014,4922,29
5024,4922,32
5034,4922,79
5044,4922,12
5054,4922,55
5064,4922,9
5074,4922,13
5084,4922,32
5094,4922,106
5104,4922,39
5114,4922,23
5124,4922,25
5134,4922,82
5144,4922,18
5154,4922,61
5164,4922,54
5174,4922,11
5184,4922,19
2774,4912,1655
2784,4912,2772
2814,4912,12557
2824,4912,429
2834,4912,5
2844,4912,50
4474,4912,17
4504,4912,20708
4514,4912,20048
4524,4912,3691
4534,4912,99
4544,4912,1441
4554,4912,6429
4674,4912,2
4724,4912,1
4734,4912,9
4754,4912,1
4784,4912,17
4804,4912,150
4814,4912,35
4824,4912,37
4834,4912,130
4844,4912,6
4854,4912,10
4874,4912,54
4884,4912,31
4894,4912,577
4904,4912,12
4914,4912,109
4924,4912,128
4934,4912,2369
4944,4912,200
4954,4912,95
4964,4912,32
4974,4912,5
4984,4912,39
4994,4912,489
5004,4912,437
5014,4912,207
5024,4912,75
5034,4912,137
5044,4912,31
5054,4912,11
5064,4912,15
5074,4912,19
5084,4912,206
5104,4912,1
5114,4912,8
5124,4912,64
5134,4912,120
5144,4912,7
5154,4912,121
5164,4912,157
5174,4912,274
5184,4912,48
5194,4912,5
2774,4902,269
2784,4902,13409
2794,4902,103
2804,4902,396
2814,4902,121302
2824,4902,66546
2834,4902,207
3204,4902,1
3234,4902,4
4494,4902,1
4504,4902,201
4514,4902,800
4524,4902,196
4534,4902,322
4544,4902,157
4554,4902,469
4564,4902,16
