x,y,value
26,65,1285333
26,66,1290762
26,67,1165526
26,68,1165526
26,69,1111127
26,70,1111127
26,71,1111127
26,72,915164
26,73,915164
26,74,915164
26,87,232919
26,88,232919
26,89,232919
26,93,348357
26,94,348357
26,95,348357
26,122,97503
26,123,97503
26,124,97503
27,39,395284
27,40,395996
27,41,398241
27,42,353383
27,43,687429
27,44,845718
27,45,845718
27,46,845718
27,47,838656
27,48,839657
27,49,833937
27,50,839657
27,51,837568
27,52,1161816
27,53,1156936
27,54,1156936
27,55,1077008
27,56,1148480
27,57,1148480
27,58,1345991
27,59,1345991
27,60,1345991
27,62,1231376
27,63,1231376
27,64,1359684
27,65,1285333
27,66,1290762
27,67,1165526
27,68,1165526
27,69,1111127
27,70,1111127
27,71,1111127
27,80,547938
27,81,547938
27,82,547938
27,87,232919
27,88,232919
27,89,232919
27,93,348357
27,94,348357
27,95,372211
27,96,371056
27,97,371056
27,98,129929
27,99,129929
27,100,129929
27,122,97503
27,123,97503
27,124,97503
28,38,394866
28,39,395484
28,40,395484
28,41,398241
28,42,352818
28,43,352818
28,44,845514
28,45,845514
28,46,845718
28,47,838656
28,48,839657
28,49,833937
28,50,839657
28,51,837568
28,52,1161816
28,53,1156936
28,54,1156936
28,55,1077008
28,56,1148480
28,57,1148480
28,58,1345991
28,59,1345991
28,60,1345991
28,62,1231376
28,63,1231376
28,64,1359684
28,65,1285333
28,66,1290762
28,67,1165526
28,68,1165526
28,69,1111127
28,70,1111127
28,71,1111127
28,80,547938
28,81,547938
28,82,547938
28,93,348357
28,94,348357
28,95,372211
28,96,371056
28,97,371056
28,98,129929
28,99,129929
28,100,129929
29,38,394866
29,39,395484
29,40,395484
29,41,395284
29,46,838656
29,47,838656
29,48,839657
29,49,833937
29,50,839657
29,51,837568
29,52,839657
29,53,821134
29,54,821134
29,55,1077008
29,56,1077008
29,57,1115125
29,58,1345991
29,59,1345991
29,60,1345991
29,61,1458018
29,62,1458018
29,63,1459264
29,64,1417637
29,65,1417637
29,66,1368452
29,80,547938
29,81,687224
29,82,687224
29,83,687123
29,94,128137
29,95,458319
29,96,458319
29,97,371056
29,98,129929
29,99,129929
29,100,129929
30,38,400211
30,39,400211
30,40,400211
30,55,1054200
30,56,1054200
30,57,1054200
30,59,1212646
30,60,1212646
30,61,1458018
30,62,1458018
30,63,1459264
30,64,1417637
30,65,1417637
30,66,1368452
30,81,687123
30,82,687123
30,83,687123
30,94,128137
30,95,128137
30,96,128137
30,123,96302
30,124,96302
30,125,96302
31,38,139938
31,39,139938
31,40,139938
31,55,1054200
31,56,1238096
31,57,1238096
31,58,1213616
31,59,1212646
31,60,1212646
31,61,1458018
31,62,1458018
31,63,1459264
31,64,1417637
31,65,1417637
31,66,1368452
31,81,687123
31,82,687123
31,83,687123
31,91,378932
31,92,378932
31,93,378932
31,94,128137
31,95,128137
31,96,128137
31,123,96302
31,124,96302
31,125,96302
32,13,6868
32,14,6868
32,15,6868
32,37,140016
32,38,140560
32,39,140560
32,40,139938
32,55,1054200
32,56,1238096
32,57,1238096
32,58,1213616
32,59,1212646
32,60,1212646
32,61,1212646
32,78,727682
32,79,727682
32,80,727682
32,91,378932
32,92,378932
32,93,378932
32,123,96302
32,124,96302
32,125,96302
32,127,199694
33,13,6868
33,14,6868
33,15,6868
33,37,140016
33,38,140016
33,39,140016
33,56,1213616
33,57,1213616
33,58,1213616
33,59,1149272
33,60,1149272
33,61,1149272
33,64,1289141
33,65,1289141
33,66,1289141
33,76,833005
33,77,833005
33,78,833119
33,79,727682
33,80,727682
33,81,920752
33,82,920752
33,83,920752
33,89,382244
33,90,384051
33,91,392469
33,92,392469
33,93,378932
33,127,199694
34,13,6868
34,14,6868
34,15,6868
34,37,140016
34,38,140016
34,39,140016
34,59,1149272
34,60,1149272
34,61,1149272
34,63,1290640
34,64,1357747
34,65,1357747
34,66,1289141
34,75,928553
34,76,930910
34,77,930910
34,78,833119
34,79,727682
34,80,751795
34,81,922641
34,82,922641
34,83,922641
34,89,382244
34,90,384051
34,91,384051
34,92,24842
34,94,21987
34,95,21987
34,96,21987
34,127,199694
35,14,24621
35,15,24621
35,16,24621
35,38,140173
35,39,140173
35,40,140173
35,59,1149272
35,60,1149272
35,61,1149272
35,63,1290640
35,64,1357747
35,65,1357747
35,66,1289141
35,68,948417
35,69,948417
35,70,948417
35,72,927933
35,73,927933
35,74,927933
35,75,928553
35,76,930910
35,77,930910
35,78,833005
35,80,322606
35,81,922641
35,82,922641
35,83,922641
35,89,382244
35,90,384051
35,91,384051
35,92,24905
35,94,21993
35,95,21993
35,96,21993
35,123,51668
35,124,51668
35,125,51668
36,14,24621
36,15,24621
36,16,24621
36,37,117288
36,38,145323
36,39,145323
36,40,140173
36,58,1111898
36,59,1111898
36,60,1111898
36,63,1302052
36,64,1302052
36,65,1302052
36,68,948417
36,69,948417
36,70,948417
36,72,927933
36,73,927933
36,74,927933
36,75,928553
36,76,928553
36,77,928553
36,79,321850
36,80,322606
36,81,743307
36,82,790772
36,83,790772
36,84,755524
36,90,24647
36,91,24647
36,92,25028
36,93,25019
36,94,25028
36,95,21993
36,96,21993
36,123,51668
36,124,51668
36,125,51668
37,14,24621
37,15,29751
37,16,29751
37,17,29499
37,37,117392
37,38,145323
37,39,145323
37,40,140173
37,58,1111898
37,59,1111898
37,60,1111898
37,63,1267922
37,64,1267922
37,65,1267922
37,67,1050135
37,68,1060212
37,69,1060212
37,70,948417
37,72,927933
37,73,927933
37,74,927933
37,79,321850
37,80,321850
37,81,321850
37,82,755524
37,83,755524
37,84,755524
37,90,24647
37,91,24647
37,92,25028
37,93,25019
37,94,25028
37,95,21703
37,96,21703
37,121,92829
37,122,92829
37,123,92829
37,124,51668
37,125,51668
37,127,69098
38,15,29499
38,16,29499
38,17,29499
38,37,117392
38,38,117392
38,39,117392
38,57,1023322
38,58,1128964
38,59,1128964
38,60,1111898
38,62,1279211
38,63,1283043
38,64,1283043
38,65,1267922
38,66,1050003
38,67,1052414
38,68,1052414
38,69,1050135
38,77,294363
38,78,294363
38,79,323175
38,80,321850
38,81,321850
38,82,755524
38,83,804739
38,84,804739
38,85,802465
38,92,25019
38,93,25019
38,94,25019
38,95,22686
38,96,22686
38,97,22686
38,121,92829
38,122,92829
38,123,92829
38,127,69098
39,15,29751
39,16,29751
39,17,29751
39,36,116252
39,37,117392
39,38,117392
39,39,117389
39,57,1023322
39,58,1023322
39,59,1023322
39,62,1279211
39,63,1279211
39,64,1279211
39,66,1050003
39,67,1052414
39,68,1052414
39,69,1050135
39,77,294363
39,78,294363
39,79,294363
39,83,802465
39,84,802465
39,85,802465
39,86,143284
39,87,143284
39,88,143284
39,95,22686
39,96,25864
39,97,25864
39,98,25847
39,99,22834
39,100,22834
39,101,22834
39,118,108710
39,119,108710
39,120,108710
39,121,92829
39,122,92829
39,123,92829
39,127,69098
40,14,30104
40,15,30124
40,16,30124
40,17,29689
40,36,116252
40,37,116252
40,38,116252
40,56,1034605
40,57,1042410
40,58,1042410
40,59,1023322
40,61,1196458
40,62,1283043
40,63,1283043
40,64,1279211
40,66,1050003
40,67,1050003
40,68,1050003
40,75,297382
40,76,297382
40,77,297710
40,78,294363
40,79,294363
40,83,802465
40,84,802465
40,85,802465
40,86,143284
40,87,143284
40,88,143284
40,95,22686
40,96,25864
40,97,25864
40,98,25847
40,99,22834
40,100,22834
40,101,22834
40,116,105965
40,117,105965
40,118,109292
40,119,108710
40,120,108710
41,14,30104
41,15,30124
41,16,30124
41,17,29689
41,34,117174
41,35,117174
41,36,117392
41,37,116252
41,38,116252
41,56,1034605
41,57,1034605
41,58,1034605
41,61,1196458
41,62,1196458
41,63,1196458
41,65,1201253
41,66,1201253
41,67,1201253
41,75,297382
41,76,297382
41,77,297382
41,80,352676
41,81,352676
41,82,352676
41,86,143284
41,87,143284
41,88,143284
41,96,25847
41,97,25847
41,98,25847
41,99,22834
41,100,22834
41,101,23025
41,102,21738
41,103,21738
41,116,105965
41,117,105965
41,118,109292
41,119,108710
41,120,108710
42,14,30124
42,15,30124
