x,y,2018,2011
99,101,1515.0,553.0
99,102,0.0,8.0
99,125,295.0,307.0
99,103,0.0,58.0
99,126,0.0,15.0
99,127,46.0,57.0
99,105,0.0,15.0
99,106,0.0,8.0
99,107,0.0,1.0
99,80,0.0,4.0
99,108,0.0,12.0
99,81,176.0,119.0
99,82,12.0,69.0
99,60,2.0,0
99,109,0.0,60.0
99,61,0.0,2.0
99,83,0.0,112.0
99,84,0.0,31.0
99,62,81.0,59.0
99,63,0.0,3.0
99,64,0.0,3.0
12,89,283.0,310.0
12,120,44.0,54.0
12,121,55.0,67.0
12,122,14.0,17.0
12,111,12.0,4.0
12,100,8.0,4.0
12,123,149.0,180.0
12,112,249.0,236.0
12,101,30.0,31.0
12,124,91.0,110.0
12,125,17.0,26.0
12,114,10.0,10.0
12,126,66.0,42.0
12,116,31.0,41.0
12,127,40.0,201.0
12,90,15.0,16.0
12,118,165.0,203.0
12,119,47.0,58.0
13,120,6.0,7.0
13,110,5524.0,5407.0
13,121,82.0,99.0
13,122,6.0,7.0
13,100,1.0,0
13,111,7174.0,6971.0
13,123,56.0,69.0
13,112,302.0,258.0
13,101,59.0,60.0
13,102,11.0,12.0
13,124,61.0,75.0
13,125,68.0,11.0
13,126,92.0,132.0
13,127,227.0,227.0
13,116,162.0,134.0
13,117,29.0,41.0
13,90,5.0,5.0
13,119,47.0,57.0
14,120,61.0,70.0
14,121,63.0,101.0
14,110,1188.0,1155.0
14,122,228.0,367.0
14,111,8.0,8.0
14,123,14.0,16.0
14,102,4.0,4.0
14,124,36.0,74.0
14,125,218.0,414.0
14,115,12.0,17.0
14,126,0.0,72.0
14,127,84.0,45.0
